Gene	sgRNA	eff
Lpcat1	Lpcat1_4	1
Lpcat1	Lpcat1_2	1
Lpcat1	Lpcat1_5	1
Lpcat1	Lpcat1_3	1
Supt20	Supt20_1	1
Supt20	Supt20_4	1
Supt20	Supt20_2	1
Supt20	Supt20_3	1
Supt20	Supt20_5	1
Stil	Stil_2	1
Stil	Stil_5	1
Stil	Stil_4	1
Stil	Stil_1	1
Stil	Stil_3	1
Cdc42ep1	Cdc42ep1_3	1
Cdc42ep1	Cdc42ep1_2	1
Cdc42ep1	Cdc42ep1_5	1
Cdc42ep1	Cdc42ep1_1	1
Cdc42ep1	Cdc42ep1_4	1
Crybb3	Crybb3_1	1
Crybb3	Crybb3_4	1
Crybb3	Crybb3_3	1
Crybb3	Crybb3_2	1
Crybb3	Crybb3_5	1
Gstm7	Gstm7_1	1
Gstm7	Gstm7_2	1
Gstm7	Gstm7_3	1
Gstm7	Gstm7_4	1
Gstm7	Gstm7_5	1
Olfr883	Olfr883_3	1
Olfr883	Olfr883_1	1
Olfr883	Olfr883_5	1
Olfr883	Olfr883_4	1
Olfr883	Olfr883_2	1
Rtn3	Rtn3_2	1
Rtn3	Rtn3_5	1
Rtn3	Rtn3_4	1
Rtn3	Rtn3_3	1
Rtn3	Rtn3_1	1
Slc22a17	Slc22a17_1	1
Slc22a17	Slc22a17_4	1
Slc22a17	Slc22a17_2	1
Slc22a17	Slc22a17_5	1
Slc22a17	Slc22a17_3	1
Scarb1	Scarb1_1	1
Scarb1	Scarb1_2	1
Scarb1	Scarb1_5	1
Scarb1	Scarb1_4	1
Scarb1	Scarb1_3	1
Kifc1	Kifc1_1	1
Kifc1	Kifc1_2	1
Rasal3	Rasal3_4	1
Rasal3	Rasal3_1	1
Rasal3	Rasal3_5	1
Rasal3	Rasal3_3	1
Rasal3	Rasal3_2	1
Slc25a12	Slc25a12_2	1
Slc25a12	Slc25a12_3	1
Slc25a12	Slc25a12_1	1
Slc25a12	Slc25a12_5	1
Slc25a12	Slc25a12_4	1
Itga11	Itga11_3	1
Itga11	Itga11_2	1
Itga11	Itga11_5	1
Itga11	Itga11_1	1
Itga11	Itga11_4	1
Ovgp1	Ovgp1_2	1
Ovgp1	Ovgp1_4	1
Ovgp1	Ovgp1_3	1
Ovgp1	Ovgp1_1	1
Ovgp1	Ovgp1_5	1
Nbas	Nbas_3	1
Nbas	Nbas_4	1
Nbas	Nbas_1	1
Nbas	Nbas_2	1
Nbas	Nbas_5	1
