"","ID","Term_Description","Fold_Enrichment","occurrence","support","lowest_p","highest_p","Up_regulated","Down_regulated","freq"
"11","R-HSA-9645723","Diseases of programmed cell death",4.72658117800478,6,0.00581395348837209,0.000609492596661716,0.000609492596661716,"","SOD2, SUZ12",2
"12","R-HSA-5389840","Mitochondrial translation elongation",3.50418949403803,10,0.015827517447657,0.000637958773422055,0.0110682162260671,"","DAP3, MRPS23, MRPS5",3
"13","R-HSA-1268020","Mitochondrial protein import",6.6637046116133,10,0.00603197674418605,0.00110968407727857,0.00177194393277402,"","ACO2, CHCHD5, COQ2, NDUFB8",4
"14","R-HSA-70268","Pyruvate metabolism",6.55622550497437,10,0.00590098872023395,0.00143761787394193,0.00143761787394193,"","DLAT, LDHA",2
"15","R-HSA-5694530","Cargo concentration in the ER",6.1588785046729,9,0.00598802395209581,0.00174364634467398,0.00174364634467398,"","F8, TMED2",2
"16","R-HSA-199977","ER to Golgi Anterograde Transport",2.98886750962067,9,0.00598802395209581,0.00212359719595558,0.00212359719595558,"","COG3, F8, TMED2, TMED9",4
"17","R-HSA-2559580","Oxidative Stress Induced Senescence",3.07943925233645,6,0.00581395348837209,0.0022510184215752,0.0022510184215752,"","RNF2, SUZ12",2
"18","R-HSA-5688426","Deubiquitination",1.61946606098969,8,0.00590098872023395,0.0022701197136999,0.00403098199003415,"","HIF1A, USP24, USP34, VDAC3",4
"19","R-HSA-400253","Circadian Clock",2.94555058919139,10,0.00608043172913432,0.00257602165044241,0.00257602165044241,"","CLOCK, HIF1A",2
"20","R-HSA-5696399","Global Genome Nucleotide Excision Repair (GG-NER)",2.41955941255007,1,0.00581395348837209,0.00292857684466397,0.00292857684466397,"","LIG1, UBE2N",2
"21","R-HSA-948021","Transport to the Golgi and subsequent modification",3.06088841346695,9,0.00598802395209581,0.00469954470582751,0.00469954470582751,"","COG3, F8, MGAT1, TMED2, TMED9",5
"22","R-HSA-1362409","Mitochondrial iron-sulfur cluster biogenesis",16.9369158878505,7,0.00598802395209581,0.00476971685954388,0.00504332546369899,"","GLRX5, ISCA1",2
"23","R-HSA-190373","FGFR1c ligand binding and activation",9.23831775700934,8,0.00581395348837209,0.00530445122843877,0.00530445122843877,"","FGF17",1
"24","R-HSA-1839122","Signaling by activated point mutants of FGFR1",9.23831775700934,8,0.00581395348837209,0.00530445122843877,0.00530445122843877,"","FGF17",1
"25","R-HSA-5696398","Nucleotide Excision Repair",1.84766355140187,1,0.00581395348837209,0.00660946488165447,0.00660946488165447,"","LIG1, UBE2N",2
"26","R-HSA-9701898","STAT3 nuclear events downstream of ALK signaling",10.1621495327103,10,0.00590098872023395,0.00809836341046059,0.00809836341046059,"","HIF1A",1
"27","R-HSA-1234158","Regulation of gene expression by Hypoxia-inducible Factor",9.23831775700934,10,0.00608043172913432,0.00989617881627673,0.00989617881627673,"","HIF1A",1
"28","R-HSA-190242","FGFR1 ligand binding and activation",6.77476635514019,8,0.00581395348837209,0.0101217120498637,0.0101217120498637,"","FGF17",1
"29","R-HSA-3928663","EPHA-mediated growth cone collapse",6.77476635514019,8,0.00590098872023395,0.0101217120498637,0.0101217120498637,"","MYH9",1
"30","R-HSA-5654219","Phospholipase C-mediated cascade: FGFR1",6.35134345794392,8,0.00581395348837209,0.0115662519762333,0.0115662519762333,"","FGF17",1
"31","R-HSA-5358606","Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",7.2586782376502,1,0.00581395348837209,0.0122779986776758,0.0122779986776758,"","LIG1",1
"32","R-HSA-5358565","Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",7.2586782376502,1,0.00581395348837209,0.0122779986776758,0.0122779986776758,"","LIG1",1
"33","R-HSA-446728","Cell junction organization",2.4785730567586,7,0.00598802395209581,0.0126962067703757,0.0126962067703757,"","CDH7, PXN",2
