sgRNA	Gene	T0	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Telo2_5	Telo2	538.5	63	16	41	37
Zcchc6_4	Zcchc6	720	604	336	668	305
Tsen2_1	Tsen2	773.5	178	57	162	102
Foxi3_3	Foxi3	409.5	399	267	264	473
Kptn_2	Kptn	767.5	610	507	685	530
Mnd1_3	Mnd1	767.5	660	627	595	564
Mrps34_5	Mrps34	481.5	370	456	291	317
Cox8a_3	Cox8a	527	218	316	169	355
Abcc2_3	Abcc2	914	580	977	686	834
Mrgprb8_1	Mrgprb8	2057	2085	3722	2123	4663
Dab2ip_2	Dab2ip	1919	1523	972	1664	876
Abca3_1	Abca3	1220.5	1035	991	1154	1376
Wbp2_2	Wbp2	640.5	531	573	593	668
Gcc2_3	Gcc2	779	512	288	544	382
Bex4_4	Bex4	582	250	148	321	211
Acoxl_5	Acoxl	1426	1545	719	1337	848
RP23-138J20.8_2	RP23-138J20.8	743.5	519	723	592	853
Lsm5_5	Lsm5	2160.5	863	1232	995	1655
Gulo_5	Gulo	1153	776	1141	791	1171
Orc4_4	Orc4	2718.5	590	299	387	229
Pdhx_1	Pdhx	670	525	223	612	236
Ddx59_1	Ddx59	499	332	427	266	509
Letm1_1	Letm1	637.5	324	75	454	84
Agap1_4	Agap1	1106	747	652	922	738
Serinc1_3	Serinc1	896.5	878	1244	903	1515
Dennd5b_4	Dennd5b	561.5	535	451	387	471
Hnmt_2	Hnmt	846	670	554	655	594
Zfp277_5	Zfp277	1972.5	1723	1355	1361	1694
Aldh1l1_3	Aldh1l1	1864.5	1276	2185	1395	2657
Elovl5_5	Elovl5	652.5	449	254	657	422
Serpina3c_1	Serpina3c	1075	1003	1300	1070	1326
Bcl3_2	Bcl3	1399	1022	699	951	743
Mlana_3	Mlana	642.5	480	416	681	273
Tmem53_3	Tmem53	423.5	298	353	331	263
Emilin2_4	Emilin2	926	756	1022	842	1179
Mab21l3_3	Mab21l3	455	392	670	344	534
Tnni1_1	Tnni1	823	732	576	614	817
Clgn_4	Clgn	1092.5	913	765	952	868
Cryzl1_4	Cryzl1	1817.5	1377	1318	1385	1478
Zfp84_4	Zfp84	181	82	50	80	58
Eml1_2	Eml1	924.5	700	535	700	669
Rnf38_1	Rnf38	798.5	853	984	908	1129
Car3_1	Car3	1275.5	1054	717	1076	696
Olfr1022_4	Olfr1022	1298.5	703	437	793	844
LacZ_219	LacZ	519	514	2081	484	2320
Ssx2ip_4	Ssx2ip	1022.5	1040	1050	917	1059
Olfr478_2	Olfr478	736	530	551	712	568
Litaf_4	Litaf	793	432	273	688	579
Wdsub1_3	Wdsub1	728.5	533	336	554	222
Sncg_2	Sncg	1552.5	986	650	1045	616
Ostm1_1	Ostm1	1022	633	347	714	369
Pawr_3	Pawr	2018.5	2230	2216	2355	2669
Cdipt_5	Cdipt	1329	372	611	347	575
Dhx32_5	Dhx32	737	633	252	643	185
Olfr156_3	Olfr156	1569.5	1398	1893	1253	1788
Bbox1_4	Bbox1	1256.5	954	1835	1143	2522
Gm732_1	Gm732	369	276	119	273	175
Kcnma1_1	Kcnma1	791.5	815	831	893	935
Gsk3b_4	Gsk3b	1692.5	2035	2085	2127	2214
Fndc4_4	Fndc4	835.5	944	896	653	649
Klk14_3	Klk14	585	569	347	514	185
Bend7_1	Bend7	322.5	259	274	204	291
Lelp1_5	Lelp1	775	712	772	684	1404
Ccdc9_4	Ccdc9	312	219	75	197	146
Ddx41_2	Ddx41	1297.5	327	233	457	306
Aldh1a3_1	Aldh1a3	733	551	656	646	609
Slc22a22_4	Slc22a22	455.5	468	348	353	142
Ccdc127_2	Ccdc127	542.5	372	208	356	450
Tas2r134_2	Tas2r134	994	841	814	816	628
Hhla1_4	Hhla1	1398.5	1310	895	1519	1209
Gabpa_1	Gabpa	770	554	668	637	966
Gpr83_5	Gpr83	1981	1328	1995	1253	1471
Krtap9-5_1	Krtap9-5	1297	1190	1299	1096	1372
Gps1_1	Gps1	740.5	418	230	438	335
Rragb_3	Rragb	2810.5	2638	2798	2623	3102
Bmp15_5	Bmp15	243	259	197	201	80
Grin2a_1	Grin2a	1237	752	1819	888	2431
Nat10_1	Nat10	980	155	148	153	178
Nuf2_5	Nuf2	958	56	76	129	37
Hexdc_3	Hexdc	453.5	471	291	312	338
Slc35f3_5	Slc35f3	1118	993	1338	1037	988
Ccdc157_1	Ccdc157	617.5	376	243	577	334
Grifin_5	Grifin	2294.5	1918	1584	1621	1382
Frmd8_3	Frmd8	1740.5	1289	1927	1651	2462
Klhdc2_5	Klhdc2	375.5	173	136	262	87
Plce1_4	Plce1	1575.5	1485	632	1231	856
Chrnb2_5	Chrnb2	699.5	510	531	755	493
Kdelr1_3	Kdelr1	985	759	622	845	610
Whamm_3	Whamm	347	244	573	347	410
Gm362_3	Gm362	1829	1494	1582	1553	2037
Birc5_1	Birc5	448	19	0	23	0
Rnf121_5	Rnf121	813.5	633	1645	838	1178
Fuom_5	Fuom	567.5	430	254	511	179
Nr4a2_3	Nr4a2	888.5	902	499	851	431
Aebp1_2	Aebp1	754.5	667	389	576	450
Lpin2_4	Lpin2	773.5	719	972	813	832
Cts7_4	Cts7	947	899	654	866	592
Hk1_3	Hk1	744.5	666	590	701	720
Doc2b_5	Doc2b	1681.5	1548	1391	1655	1980
Parm1_4	Parm1	2274.5	2208	2774	1942	2353
Olfr771_2	Olfr771	1650	1571	1121	1502	1086
Olfr453_3	Olfr453	1957.5	1832	1857	1677	1990
H2-M10.2_3	H2-M10.2	546	346	349	533	460
Efemp1_3	Efemp1	681.5	562	392	802	363
Arhgap25_1	Arhgap25	216	160	178	184	152
1700007K09Rik_3	1700007K09Rik	1378	1189	844	1243	1070
Fbxo31_4	Fbxo31	234	260	298	282	212
Lyzl4_2	Lyzl4	616	465	492	669	625
Scn4b_4	Scn4b	758.5	526	803	689	1100
Gdf5_3	Gdf5	967	818	738	885	973
Cyfip1_4	Cyfip1	980.5	273	330	329	527
Mapre3_3	Mapre3	1215	823	689	958	1153
Hmgn1_4	Hmgn1	1272	1062	2431	1098	3763
Slamf1_4	Slamf1	694	622	733	723	820
Mc5r_5	Mc5r	702	386	1144	322	960
Cers4_2	Cers4	1670.5	1057	791	1252	1172
Olfr1241_4	Olfr1241	2553	2544	2250	2488	2059
Sarnp_4	Sarnp	1383.5	909	391	1038	551
Pfas_5	Pfas	715.5	324	113	288	105
Slc25a20_5	Slc25a20	866.5	561	424	503	386
Chmp4c_5	Chmp4c	417	360	185	301	257
A530016L24Rik_4	A530016L24Rik	1149	763	954	1025	936
Crip2_1	Crip2	913.5	657	889	653	1213
Shpk_2	Shpk	597	586	407	579	560
C77080_5	C77080	211	102	131	117	72
Gnai1_5	Gnai1	1079.5	940	1156	734	1042
Zfp703_3	Zfp703	1141	1152	870	1276	717
Amigo1_3	Amigo1	900.5	760	435	787	605
Trabd_2	Trabd	352.5	355	481	153	381
Trim38_1	Trim38	1674.5	1137	1568	1345	2240
4932438A13Rik_3	4932438A13Rik	366	315	280	329	202
Adamts4_5	Adamts4	955.5	672	1104	662	1685
Iars2_1	Iars2	515	388	408	404	528
Tbc1d5_2	Tbc1d5	2306.5	1998	1485	1625	1598
Slc35a5_4	Slc35a5	692	476	740	773	794
Ptprn_2	Ptprn	2026.5	1833	2260	1865	2180
Pm20d1_3	Pm20d1	805.5	621	949	640	599
Spink7_3	Spink7	623.5	596	573	658	613
Zfp266_4	Zfp266	748	515	834	549	921
Efcc1_4	Efcc1	1149	1147	1133	828	1349
C77080_4	C77080	533.5	235	293	371	554
Saxo1_5	Saxo1	1612	1324	1651	1297	1879
Tpi1_5	Tpi1	755	125	296	129	388
Tor4a_5	Tor4a	750	463	323	581	471
5730507C01Rik_3	5730507C01Rik	900.5	785	882	958	958
Kcnb1_1	Kcnb1	441	196	253	295	377
Cxcl1_5	Cxcl1	773	671	699	618	1053
Tnip1_1	Tnip1	670.5	415	514	528	648
Htatip2_5	Htatip2	1503.5	1297	1016	1290	1068
Gm6760_2	Gm6760	1538.5	1614	803	1419	740
Sep15_5	15-Sep	475.5	492	169	397	216
Lipe_4	Lipe	1340.5	977	981	992	1168
4933413G19Rik_4	4933413G19Rik	1310.5	1081	557	1269	664
2610021A01Rik_2	2610021A01Rik	524	468	466	562	586
Pcdhga5_2	Pcdhga5	3278.5	2743	2685	2603	2831
Zfp69_5	Zfp69	891	682	651	831	772
Dmrt2_4	Dmrt2	1215.5	826	564	1188	841
Elovl7_5	Elovl7	1082.5	954	1324	880	1517
Smok2b_1	Smok2b	892.5	722	503	696	324
Bves_1	Bves	1457	1333	994	1398	1205
Oosp3_4	Oosp3	1252.5	1159	1723	1233	1926
Prm1_2	Prm1	390	294	470	626	395
Postn_3	Postn	1554.5	1453	1110	1333	1217
Aip_5	Aip	1334	763	336	681	309
Kmo_3	Kmo	871	706	745	961	707
Hmcn1_5	Hmcn1	317	165	186	209	185
Adgrf1_4	Adgrf1	445	237	859	373	697
Prss29_2	Prss29	1289.5	1262	1128	1344	1358
Stk35_1	Stk35	422.5	246	230	359	242
Prl4a1_2	Prl4a1	1859.5	1627	1414	1608	1583
Ackr1_1	Ackr1	580	609	385	552	577
Cbx5_4	Cbx5	505.5	444	520	607	953
Cnppd1_4	Cnppd1	761.5	338	702	420	923
Pias1_3	Pias1	467	197	299	229	116
Cers4_1	Cers4	801.5	643	247	800	414
Ryr1_4	Ryr1	494.5	446	526	561	454
Mapkapk3_3	Mapkapk3	442.5	365	277	438	340
3830406C13Rik_1	3830406C13Rik	682.5	481	597	356	550
Thoc5_2	Thoc5	341.5	73	104	24	17
Ppp2r4_4	Ppp2r4	1326.5	180	22	186	47
Qsox2_1	Qsox2	374.5	208	66	378	143
Iqsec2_4	Iqsec2	1683.5	1137	1298	1195	1270
A630033H20Rik_2	A630033H20Rik	1656.5	1276	1640	1576	2381
Ltb_4	Ltb	858	690	629	806	467
Tial1_5	Tial1	802.5	436	470	471	493
Tmem18_1	Tmem18	2842	2253	1712	2064	1324
Serpinf2_3	Serpinf2	515	438	309	472	283
Tm9sf3_2	Tm9sf3	533.5	386	435	457	517
Tbrg4_5	Tbrg4	1014	573	534	350	452
Deb1_1	Deb1	377.5	145	96	211	57
Gipc1_5	Gipc1	689.5	656	290	631	332
Slc27a5_5	Slc27a5	1301	1003	1613	1121	1990
Rtn2_3	Rtn2	1167	910	644	871	780
Slc28a1_1	Slc28a1	1223.5	1149	887	1031	670
BC048507_1	BC048507	844	594	328	757	685
2510002D24Rik_3	2510002D24Rik	438.5	415	532	464	489
Tmed7_1	Tmed7	651	469	909	530	920
Fbxo28_1	Fbxo28	805.5	912	931	877	841
Kctd18_2	Kctd18	544.5	434	608	607	640
Plod1_1	Plod1	465	349	143	327	116
Vti1b_4	Vti1b	865	748	892	784	879
Ddi2_4	Ddi2	334.5	324	348	347	230
Npffr1_1	Npffr1	1489	1248	708	1014	663
Sec22b_4	Sec22b	825.5	21	34	11	69
Slc5a10_5	Slc5a10	557.5	353	362	435	410
Pus7l_5	Pus7l	521.5	376	242	420	358
Lrrc8b_5	Lrrc8b	1114	903	1197	1004	1398
Rce1_4	Rce1	437.5	187	217	179	397
Olfr1362_5	Olfr1362	552.5	283	507	305	402
Lyrm9_3	Lyrm9	1174	876	581	814	554
Wdr5_2	Wdr5	699	43	1	17	12
Ctsk_3	Ctsk	788	638	626	695	1063
Shkbp1_5	Shkbp1	1166.5	915	1227	1103	782
Pdlim2_3	Pdlim2	906.5	850	1353	939	1220
Tmem176b_1	Tmem176b	2379.5	2202	2272	2431	2009
Myoz3_1	Myoz3	463	282	185	219	103
Hils1_5	Hils1	597.5	524	244	463	327
Lipi_4	Lipi	788	691	577	629	365
Ceacam16_2	Ceacam16	905	749	1111	769	1060
Acp5_1	Acp5	1390.5	1121	1361	1298	1585
Rpp25l_3	Rpp25l	739	351	146	453	161
Mettl13_3	Mettl13	2358.5	1966	2071	2272	2140
Ell2_4	Ell2	395	344	260	363	413
A230050P20Rik_1	A230050P20Rik	2012	1120	1219	1139	1149
Ddx60_4	Ddx60	1914.5	1840	1943	1970	1866
Cep41_3	Cep41	1361	1223	987	1215	986
Spn_5	Spn	691	690	879	854	831
Zfp41_5	Zfp41	643	455	318	319	312
4933411K16Rik_2	4933411K16Rik	1187.5	969	678	1016	1049
Tns2_4	Tns2	1723.5	1503	1183	1480	996
Tbc1d8b_5	Tbc1d8b	1054	899	763	683	601
Olfr920_2	Olfr920	1300	926	1392	978	1177
Cxcl15_1	Cxcl15	388	464	670	606	546
Csnk1g2_1	Csnk1g2	1519.5	1122	551	1121	754
Ddx23_3	Ddx23	396	299	149	402	160
Bend7_2	Bend7	934.5	757	857	683	840
Flywch1_2	Flywch1	1775	873	1026	1110	1850
Cemip_1	Cemip	1896.5	1851	2480	1920	3054
Rhox13_2	Rhox13	306.5	118	244	285	388
Tmem14c_1	Tmem14c	357.5	250	193	286	296
Gsn_1	Gsn	711	567	388	651	567
Ddx26b_5	Ddx26b	1036.5	800	1290	792	1948
Pitx2_2	Pitx2	975	1090	566	1221	499
Ip6k2_3	Ip6k2	599.5	392	481	438	677
Gm11214_1	Gm11214	724	783	488	632	435
Lin37_2	Lin37	1128.5	882	898	980	893
Adgrg2_4	Adgrg2	462.5	495	448	463	452
Nebl_2	Nebl	501	439	162	440	131
Gm8394_1	Gm8394	693.5	713	719	692	720
Cyp2j8_2	Cyp2j8	1051.5	973	694	816	742
Rin1_1	Rin1	406.5	300	236	373	430
Zfy1_1	Zfy1	890	1071	940	1137	889
Hpgd_4	Hpgd	557.5	436	362	576	721
Rbpms_3	Rbpms	539	447	559	479	528
Ssb_3	Ssb	997.5	361	433	354	505
Polb_1	Polb	545	472	552	486	558
Htr2a_5	Htr2a	668	606	399	748	512
Tnfrsf21_3	Tnfrsf21	1152	977	1048	1228	1000
Olfr194_1	Olfr194	719	375	273	536	377
Arl6ip1_5	Arl6ip1	1445.5	1438	1194	1557	1155
Hey1_4	Hey1	1427	1832	846	1558	962
Klk14_2	Klk14	943	426	415	618	453
Cdk5rap3_3	Cdk5rap3	655.5	349	110	292	127
Olig2_1	Olig2	497	273	240	325	334
Alpk2_5	Alpk2	834.5	588	733	514	865
Dcaf11_4	Dcaf11	1189.5	987	697	938	1012
Aar2_2	Aar2	593.5	436	101	356	209
Cyp26b1_3	Cyp26b1	1148	791	1115	841	1095
Olfr1102_3	Olfr1102	1058	865	731	766	593
Vwa5b2_1	Vwa5b2	635	503	486	539	618
Lag3_1	Lag3	309	299	323	311	267
Plxnc1_1	Plxnc1	659.5	444	460	366	451
Slc39a4_4	Slc39a4	991	687	1812	635	1961
Dnajb4_5	Dnajb4	601.5	520	820	480	815
Ccdc32_5	Ccdc32	1241.5	949	1029	998	969
Gykl1_1	Gykl1	628.5	473	616	531	812
Ptges2_2	Ptges2	640.5	206	355	222	347
5031439G07Rik_2	5031439G07Rik	411	525	216	517	197
Vmn2r53_2	Vmn2r53	214	219	270	204	231
Olfr362_2	Olfr362	1168	864	1144	966	1237
Zfp560_4	Zfp560	737.5	627	849	836	791
2300009A05Rik_2	2300009A05Rik	2573	2021	1949	2071	2167
C1s2_5	C1s2	731	663	444	585	629
Tspan7_3	Tspan7	1310.5	1196	1099	1409	1348
St3gal6_2	St3gal6	941	855	632	1113	570
Unk_2	Unk	173	58	25	183	25
Olfr466_4	Olfr466	460.5	405	313	447	237
Pnisr_5	Pnisr	620.5	307	180	339	261
Ifi205_1	Ifi205	1582.5	1599	1616	1778	1729
Phax_5	Phax	758.5	509	761	467	784
Tom1_5	Tom1	1733	1614	1838	1821	2053
Krtap14_1	Krtap14	631.5	619	378	679	948
Clcnka_2	Clcnka	1128.5	772	670	943	1172
Mbtd1_5	Mbtd1	523	453	380	339	401
Il1r2_2	Il1r2	275.5	218	135	322	162
Copb1_4	Copb1	541	173	553	129	330
Arhgef40_5	Arhgef40	886	944	1247	735	1883
Olfr926_3	Olfr926	978.5	906	762	854	792
Jak1_1	Jak1	542	623	203	499	178
Lin7c_4	Lin7c	1228	915	732	826	972
Fbxl17_2	Fbxl17	780	691	396	542	351
Zfp280d_2	Zfp280d	746	601	875	862	967
Lsm14b_5	Lsm14b	729.5	544	552	550	435
Padi4_2	Padi4	395.5	244	301	195	215
Gipr_2	Gipr	497.5	433	364	564	881
Alkbh7_1	Alkbh7	1349.5	1178	854	1221	637
Olfr67_3	Olfr67	338	300	105	315	83
Tnr_5	Tnr	914.5	710	447	831	700
Klrc2_1	Klrc2	960	726	943	1015	1078
Tmem194b_2	Tmem194b	1635.5	1011	1032	1243	961
Olfr155_4	Olfr155	2151	1857	1824	2003	1779
Uty_4	Uty	1580.5	1484	1737	1477	2096
Eif2d_2	Eif2d	1519.5	1012	623	1340	828
Bcl2_2	Bcl2	536.5	405	922	368	739
Rfpl4b_3	Rfpl4b	1970	1420	1127	1560	1591
Dclk2_4	Dclk2	745	740	534	558	576
Pgr_1	Pgr	545	422	178	455	164
Cmklr1_1	Cmklr1	1121.5	967	729	1088	967
0610009O20Rik_3	0610009O20Rik	423	354	509	310	615
Plxdc2_2	Plxdc2	598.5	543	491	507	593
Gm15155_3	Gm15155	1050.5	928	1321	841	1188
Dhx38_3	Dhx38	670.5	438	279	364	225
Fmo4_2	Fmo4	1374	1210	977	1066	1022
Ankrd61_1	Ankrd61	644	461	364	564	393
Ccbe1_3	Ccbe1	2594.5	2028	2974	1896	3095
Crym_4	Crym	649	490	947	467	668
Shkbp1_4	Shkbp1	884	714	875	979	1043
Slc16a4_3	Slc16a4	926.5	790	457	782	579
Slc26a8_2	Slc26a8	1433	1134	1517	1562	1669
Cd79b_4	Cd79b	303	298	77	212	113
Ppcdc_3	Ppcdc	471	108	100	200	163
Tbc1d17_3	Tbc1d17	1624	1399	990	1434	1458
Btf3l4_5	Btf3l4	701.5	602	340	528	382
Cmtm8_3	Cmtm8	718	414	242	402	411
Serpina10_4	Serpina10	2080	2163	2134	1846	2507
Cks1b_3	Cks1b	2008	743	388	751	288
Rpgr_3	Rpgr	1552	1312	1631	1394	1350
Gm572_5	Gm572	1730	918	1334	1161	1197
Tstd2_3	Tstd2	666	448	347	495	424
A530064D06Rik_1	A530064D06Rik	1099	967	906	1312	1017
Fbxo8_4	Fbxo8	1427.5	1172	1446	1245	1703
3632451O06Rik_1	3632451O06Rik	1159	859	705	992	1057
Gata6_1	Gata6	640	490	629	623	962
Pla2g4e_5	Pla2g4e	2185.5	1752	1629	2211	1903
Trp53bp1_1	Trp53bp1	867	643	226	695	375
Ednra_1	Ednra	881.5	695	606	755	724
Sfrp4_1	Sfrp4	1394	968	1043	1181	926
Ltbp3_4	Ltbp3	326	209	13	302	49
Kif24_5	Kif24	470.5	302	168	302	123
Txnip_2	Txnip	724.5	811	613	855	546
Kcnj5_1	Kcnj5	614.5	460	471	762	562
Olfr61_5	Olfr61	1586	1280	1040	1535	1276
Pcyt1a_5	Pcyt1a	1211	1168	1555	1239	1127
Adam18_4	Adam18	1335	1097	982	1074	1388
Ilkap_3	Ilkap	1596	1262	1760	1438	2462
Fam122c_5	Fam122c	549.5	401	190	380	223
Olfr550_1	Olfr550	977.5	795	948	969	1363
Als2cr12_1	Als2cr12	390	267	224	365	334
Nuf2_2	Nuf2	1096.5	331	405	485	419
Zbtb10_2	Zbtb10	476.5	453	316	600	447
Rpain_1	Rpain	314.5	30	5	64	0
Clk3_1	Clk3	289.5	372	116	356	100
Dhrs1_3	Dhrs1	1446	1262	1168	1199	1332
Sugp2_2	Sugp2	547.5	344	159	357	137
Rab42_2	Rab42	474	314	146	416	175
Ccndbp1_1	Ccndbp1	809	650	866	777	1048
Itpkb_1	Itpkb	860.5	958	608	801	903
Hist3h2a_4	Hist3h2a	646	563	307	697	438
4930415O20Rik_4	4930415O20Rik	673.5	556	745	603	698
Sept9_3	9-Sep	474.5	489	170	458	184
Zfp710_5	Zfp710	514.5	361	140	394	197
Mageb16_4	Mageb16	709.5	555	191	454	217
Mfap5_3	Mfap5	1661.5	1244	1104	1255	1119
Eif2ak2_3	Eif2ak2	849.5	745	1154	680	1021
Taf13_4	Taf13	1249	213	17	135	22
Nipsnap1_2	Nipsnap1	1996	1182	959	1323	920
Rab43_3	Rab43	339.5	207	129	176	222
Mov10l1_2	Mov10l1	2881	2181	2706	2430	2597
Zfp706_4	Zfp706	1225	1173	824	1272	832
Gm826_2	Gm826	696	607	753	614	717
Arhgap29_2	Arhgap29	827	658	909	795	1032
Htt_2	Htt	2018	1899	2290	1808	1962
Snx10_1	Snx10	400.5	444	145	479	189
Gm9938_1	Gm9938	552.5	428	345	591	311
Ccdc169_3	Ccdc169	401	349	160	375	158
Vpreb3_3	Vpreb3	1573.5	1304	1264	1408	1605
Tbc1d8b_2	Tbc1d8b	988.5	691	562	666	615
4833439L19Rik_1	4833439L19Rik	1807	1487	2022	1294	2925
Msrb1_5	Msrb1	746	418	524	530	475
Mark1_3	Mark1	1187.5	1000	853	958	1450
Pcif1_2	Pcif1	427.5	291	490	525	641
Ensa_1	Ensa	1221	761	998	1001	1148
Ifi35_4	Ifi35	548	437	311	464	491
Nxph2_2	Nxph2	1566.5	1307	1684	1238	1366
U2af1l4_4	U2af1l4	756	499	834	369	1426
Olfr19_4	Olfr19	861.5	518	383	624	428
Yipf5_4	Yipf5	645	336	273	438	318
Fgf16_1	Fgf16	612	462	501	521	561
Pde11a_5	Pde11a	1620	1870	1779	1520	2092
Mbip_4	Mbip	1748.5	1446	1427	1497	1420
Msra_4	Msra	692.5	404	885	419	1071
Proc_2	Proc	794	665	824	560	783
R3hdml_1	R3hdml	664	436	412	621	481
Xpnpep3_4	Xpnpep3	681.5	512	370	687	502
Hoxa9_3	Hoxa9	351.5	99	139	144	238
Lrrc37a_4	Lrrc37a	836.5	382	274	511	460
Adam3_5	Adam3	684	503	332	437	310
Smlr1_1	Smlr1	1042.5	988	557	957	837
Tyrp1_1	Tyrp1	1342.5	1219	1074	1053	966
Lrit2_1	Lrit2	738.5	477	922	475	715
Cacng3_3	Cacng3	631	665	814	660	689
Asic3_5	Asic3	420	344	290	430	266
5330417H12Rik_3	5330417H12Rik	1277	1586	1342	1709	1578
Polr3b_1	Polr3b	1080.5	815	1093	681	903
Trim68_2	Trim68	321	205	567	232	576
Hmces_2	Hmces	859.5	612	429	821	611
Clasp2_4	Clasp2	668	311	88	453	113
Capza3_3	Capza3	805	765	1016	787	1053
Tubg1_1	Tubg1	1333	83	59	51	7
Fam49a_2	Fam49a	943.5	716	740	762	801
Liph_2	Liph	538.5	448	415	338	569
Atp7b_3	Atp7b	1607.5	1160	1628	1115	1452
Mysm1_1	Mysm1	669	438	291	488	431
Ly96_3	Ly96	1708.5	1479	2742	1383	2923
Snrnp200_3	Snrnp200	554	74	7	122	20
Gm9837_1	Gm9837	839	489	668	591	767
Tuft1_4	Tuft1	803.5	617	496	485	656
Chst1_1	Chst1	476	342	465	348	419
Vwc2_1	Vwc2	946	673	412	799	709
Taar3_1	Taar3	625	810	380	641	272
Acoxl_2	Acoxl	2591	1813	1605	1653	1577
Tfec_4	Tfec	719	515	772	546	709
Olfr561_4	Olfr561	682	565	691	605	579
Sbk3_3	Sbk3	394	434	338	411	477
EGFP_50	EGFP	611	613	574	671	582
Klhl12_5	Klhl12	1068	862	511	814	412
Rfwd3_1	Rfwd3	393	310	339	237	292
Bet1l_4	Bet1l	792.5	552	558	643	958
Lcn10_5	Lcn10	560	471	523	547	616
Tmem184a_4	Tmem184a	766.5	725	692	557	539
Eif3b_5	Eif3b	1504.5	284	450	264	500
Hs6st3_2	Hs6st3	2591.5	2506	2143	2702	2315
Zfp93_3	Zfp93	540	359	123	327	98
Mstn_4	Mstn	1628.5	1238	1221	1364	1299
Smarcc2_5	Smarcc2	599	447	476	444	302
Zrsr2_5	Zrsr2	926	622	704	610	612
Ckap5_2	Ckap5	1401	449	182	524	247
Pigh_5	Pigh	684.5	594	309	723	506
Cyp2d40_5	Cyp2d40	926	657	825	791	784
Zfp467_4	Zfp467	726.5	356	372	655	439
Ptma_3	Ptma	529.5	297	473	332	476
Crtc3_2	Crtc3	1810	1487	1256	1575	1916
Slc23a1_1	Slc23a1	1674	1066	1358	1048	976
Mitd1_4	Mitd1	917.5	669	734	718	483
Acly_1	Acly	307.5	91	137	96	290
Itpkc_2	Itpkc	599.5	493	573	565	486
Eno4_1	Eno4	425	372	164	279	170
Wfdc13_3	Wfdc13	547.5	432	334	455	427
Arhgef15_2	Arhgef15	818	516	1146	577	1526
Zfp281_2	Zfp281	274	287	104	175	99
Cpeb3_3	Cpeb3	1419	1237	1352	1035	1290
Tprg_3	Tprg	403.5	303	235	401	695
Krtap19-5_2	Krtap19-5	739	616	632	619	395
Ocel1_5	Ocel1	826	776	1064	782	1223
Psmg4_1	Psmg4	549.5	13	1	22	0
Zfp189_2	Zfp189	466	199	384	348	575
Dbt_1	Dbt	1363	1133	1499	1030	1089
Ap4e1_4	Ap4e1	1058	1058	1219	1039	943
Pif1_5	Pif1	1732	989	1586	1230	1314
Guca1b_5	Guca1b	1448	1141	951	1140	921
Ranbp3l_5	Ranbp3l	1044	856	798	939	732
Tff3_3	Tff3	1121	927	1482	1131	1583
Gdf9_4	Gdf9	1639	1310	1163	1391	1026
Gpaa1_3	Gpaa1	545	177	294	234	396
Svip_4	Svip	1305	625	319	699	463
Atg13_3	Atg13	616	411	898	557	1001
Gucy1a3_2	Gucy1a3	559	441	351	477	652
Pdilt_1	Pdilt	1806.5	1320	1607	1353	1835
Olfr1288_3	Olfr1288	1880.5	1678	1741	1630	2165
Rwdd2b_3	Rwdd2b	1166	881	1115	1106	873
Zdhhc19_5	Zdhhc19	1271.5	788	646	885	783
Ide_3	Ide	525.5	348	144	424	168
Vmn2r10_1	Vmn2r10	801	712	758	671	942
Mysm1_3	Mysm1	725.5	356	678	454	459
Zfp667_3	Zfp667	1307.5	941	939	989	983
Tceanc_3	Tceanc	552	523	350	444	302
Rabggta_3	Rabggta	931.5	298	235	262	312
EGFP_18	EGFP	329	355	568	408	560
Foxl2_5	Foxl2	77	89	86	157	163
Olfr982_2	Olfr982	999.5	875	741	876	771
Pycard_1	Pycard	1254	996	1023	1115	1304
Bmp1_4	Bmp1	503	482	504	516	608
Olfr353_1	Olfr353	2714	2054	1768	1919	1765
Fbxw8_3	Fbxw8	990.5	775	731	956	686
Ddo_3	Ddo	1378	876	542	1164	587
Gm4076_3	Gm4076	829	899	1586	1028	1438
A730049H05Rik_1	A730049H05Rik	943	809	1049	592	1252
Cfap45_2	Cfap45	776.5	599	1056	896	984
Pold1_4	Pold1	722	246	180	198	154
Fam227a_2	Fam227a	959	891	515	634	469
Slc22a7_3	Slc22a7	941.5	954	664	869	870
Hspa13_4	Hspa13	672.5	133	81	224	71
Mxd1_5	Mxd1	335.5	189	196	267	203
Smad9_2	Smad9	223	147	311	147	557
Dnaic2_4	Dnaic2	801.5	437	246	586	367
Olfr1228_2	Olfr1228	1218.5	744	836	728	882
Pard6b_2	Pard6b	1359.5	837	1376	864	1755
Sox8_2	Sox8	668.5	471	429	678	544
Klrg2_2	Klrg2	553.5	385	338	553	545
Vstm5_1	Vstm5	442.5	168	274	345	357
Pf4_4	Pf4	2116.5	1553	2948	1799	3457
Cldn11_1	Cldn11	1203	732	384	573	619
Zfp169_3	Zfp169	640	517	409	524	344
Cdk5rap3_1	Cdk5rap3	494.5	223	114	252	99
Tmc5_3	Tmc5	1431	1156	1069	1230	942
Pla2g10_1	Pla2g10	517.5	632	466	567	633
Gltscr1_2	Gltscr1	1419.5	950	837	1143	1160
Casp2_1	Casp2	529.5	440	335	468	335
Slc25a25_1	Slc25a25	592	651	827	529	738
Smpx_2	Smpx	1035.5	900	1519	969	1624
