sgRNA	Gene	T0	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Ankrd9_5	Ankrd9	494	325	104	351	105
BC030336_2	BC030336	770.5	593	1115	662	878
Lingo2_1	Lingo2	545	419	531	382	949
Piwil2_4	Piwil2	277.5	188	399	278	463
Hes7_2	Hes7	302	207	78	221	128
Gabpb2_3	Gabpb2	651.5	560	353	600	352
Plp1_3	Plp1	261	168	382	212	353
Car6_3	Car6	531.5	522	250	555	191
Calm3_5	Calm3	287	114	521	232	554
Jakmip2_4	Jakmip2	551	794	474	682	571
Unc5d_4	Unc5d	1510	924	648	1353	967
Lingo2_3	Lingo2	770	568	444	789	714
Dnajb2_3	Dnajb2	338	206	170	155	283
Dbn1_5	Dbn1	399	222	221	241	262
D630003M21Rik_4	D630003M21Rik	1265.5	897	896	803	769
Nap1l4_1	Nap1l4	773	629	413	561	663
Hacd2_3	Hacd2	681	246	125	436	165
Slc25a33_2	Slc25a33	440	296	258	330	297
Lefty1_2	Lefty1	1030.5	982	553	835	671
Scaf1_5	Scaf1	818.5	446	442	752	508
Slc14a2_1	Slc14a2	762	453	499	489	396
Gpr19_4	Gpr19	285.5	141	174	153	168
Fbxo32_4	Fbxo32	485.5	504	499	553	722
Ece2_5	Ece2	1015	744	832	770	1571
Rpp14_1	Rpp14	570.5	471	908	533	879
Gpr62_5	Gpr62	378	288	289	230	350
Cep120_5	Cep120	621	406	278	593	176
Olfr770_1	Olfr770	1173	1135	954	981	1182
Olfr1039_2	Olfr1039	765	691	617	617	785
Naaladl2_4	Naaladl2	1009.5	950	935	1147	1479
Morn3_5	Morn3	270.5	191	68	162	95
Mt4_3	Mt4	331.5	335	129	318	124
Ankrd36_2	Ankrd36	1143.5	737	1537	742	1402
Acer2_5	Acer2	610	515	279	684	208
Olfr211_2	Olfr211	900	772	676	815	670
Atic_1	Atic	922.5	83	103	71	80
Igsf11_4	Igsf11	400	356	324	388	490
B3glct_4	B3glct	436	238	316	268	284
Fam133b_1	Fam133b	837.5	569	376	526	597
Cep63_2	Cep63	380.5	282	159	549	310
Fbxl13_1	Fbxl13	828.5	605	1078	800	1021
LacZ_273	LacZ	1293.5	1063	1621	1155	1652
Rbm4b_2	Rbm4b	1211	685	1060	838	1299
Casp12_4	Casp12	1068	1049	1072	803	1125
Lgals3bp_2	Lgals3bp	143.5	142	52	207	165
Acsbg1_5	Acsbg1	370	337	139	561	333
Akr1c18_1	Akr1c18	1219	898	779	1075	782
Patz1_3	Patz1	305	195	131	298	131
Nat14_2	Nat14	350.5	167	54	198	35
4933436I01Rik_3	4933436I01Rik	261.5	361	311	249	226
Atpaf1_5	Atpaf1	1518.5	891	685	839	695
Sgol2b_1	Sgol2b	457.5	448	862	453	743
Fscb_3	Fscb	582	361	226	496	115
Jph4_2	Jph4	599	394	311	485	278
Sez6l2_4	Sez6l2	869.5	649	482	799	530
Neurl1b_2	Neurl1b	825.5	645	1185	686	1678
Tet3_3	Tet3	535.5	573	440	386	615
Dcun1d1_4	Dcun1d1	698	492	536	668	832
Adrb1_2	Adrb1	868.5	656	512	725	408
Msr1_3	Msr1	301	250	76	247	92
Cilp_4	Cilp	283	135	122	188	163
Hmgcll1_2	Hmgcll1	792.5	932	705	858	664
Tarsl2_1	Tarsl2	774.5	605	297	634	198
Rassf6_5	Rassf6	1013.5	1034	874	828	867
Nanos1_2	Nanos1	1686.5	1315	761	1012	676
Phyhipl_1	Phyhipl	1099	833	771	1155	1045
Btbd2_1	Btbd2	335.5	173	75	216	129
Irf2bpl_5	Irf2bpl	731	653	426	642	555
Gria1_1	Gria1	425.5	271	326	343	291
Klhl38_3	Klhl38	1189.5	1309	1030	1141	1594
Tmem218_5	Tmem218	1658.5	1553	3517	1558	3151
Serpinb12_5	Serpinb12	692.5	604	770	754	868
Cars2_5	Cars2	793.5	310	297	256	203
Ubr7_1	Ubr7	476	371	191	401	280
Arhgap36_2	Arhgap36	602.5	465	525	429	535
Fgfr2_1	Fgfr2	694.5	135	161	155	158
Psph_2	Psph	594	385	342	430	656
Thnsl2_5	Thnsl2	823	361	649	530	563
Kdelc2_1	Kdelc2	605.5	428	220	485	416
