sgRNA	Gene	T0_rep1	T0_rep2	T12_DMSO_rep1	T12_DMSO_rep2	T12_MYCi_rep1	T12_MYCi_rep2
Katna1_4	Katna1	470.19964197881643	464.10921850269204	418.0644624347555	1738.5078869393826	494.6787350641624	1861.5007369207356
Ranbp3l_2	Ranbp3l	771.6516772544339	766.0297316146583	1134.589643458103	2051.4151438659287	1154.9403103171658	1547.5394882295589
BC048671_5	BC048671	756.9067407463874	800.9626835449685	740.665386203307	1583.8664626668037	1023.5089309172733	1475.1725337440039
Zfp653_3	Zfp653	489.85955732287846	497.37869653155883	474.0258471701165	478.42190634329086	422.2362424815445	311.7345731685442
Ginm1_2	Ginm1	334.2185608490542	331.86304333794646	284.19605189134296	198.13432484924166	342.5495006406648	182.58739285586162
Cbx7_3	Cbx7	346.5060079390929	395.90678854351506	624.3534885180469	390.2279690628357	566.0863348956001	385.2148654154154
LacZ_102	LacZ	654.5113483293977	783.4962075798135	1087.4065151518182	1012.4180745345398	1051.4510351991403	1004.2306607072389
Inppl1_3	Inppl1	303.90952469362526	334.35825419011144	328.08733403672414	337.06997946913674	517.4463755901281	372.96815004093685
Sim2_2	Sim2	540.6476719617053	584.7110763573343	723.1088733451545	745.4199904389153	1113.5446002699557	767.0897175468821
Caprin2_1	Caprin2	185.13086948991727	183.81386610948914	137.1602567043161	224.71331964609115	142.81519966287536	191.49409494639147
Larp4b_4	Larp4b	747.8959462136924	865.0064287505371	793.3349247777644	691.0538647180867	842.4026994607285	973.0572033903845
Chmp2a_2	Chmp2a	734.7893359843176	635.4470303513561	237.01292358505825	275.4550369855311	281.49082832102965	351.8147325759285
Zswim8_1	Zswim8	269.5046728415167	316.0600412742347	234.8183594777892	192.09364421359405	365.3171411666304	319.5279374977578
Col4a5_4	Col4a5	487.4020679048707	426.6810557202169	551.932872978168	384.1872884271881	305.2933615981756	368.5147989956719
Chchd1_3	Chchd1	228.54651587472088	252.84803301938777	118.50646179252912	224.71331964609115	96.24502585976383	130.26051807399884
Uggt2_1	Uggt2	131.88526543308265	165.5156531936124	155.81405161610311	119.60547658582271	93.14034760622306	135.82720688057998
Tsku_3	Tsku	392.3791437419043	455.79184899547533	408.1889239520448	289.9526705110854	469.8413090358363	316.18792421380914
Phlpp2_2	Phlpp2	367.8042495618268	309.40614566846136	466.3448727946748	265.7899479684949	513.306804585407	201.51413479823754
Colec12_4	Colec12	140.89605996577774	131.4144382140239	222.74825688780936	71.28003150064181	191.45515896834738	91.29369642793081
Exoc3l4_2	Exoc3l4	323.5694400376873	249.5210852165011	199.70533376148427	218.67263901044353	267.0023298045061	283.9011291356385
Ttl_1	Ttl	371.08090211917045	377.60857562763834	408.1889239520448	724.8816762777134	228.7112980108366	477.6218996046624
Rars2_3	Rars2	778.2049823691212	840.054320228887	391.7296931475268	300.8258956552511	201.80408648014995	263.86104943194636
Gpr146_2	Gpr146	378.4533703731937	392.5798407406284	481.70682154555817	656.0179170313306	372.56139042489224	474.28188632071374
Atxn3_1	Atxn3	1208.2656305204778	1267.5671128998256	1965.2321580594412	2605.9496262183798	1837.9695260961348	2562.90352654996
Olfr904_4	Olfr904	652.05385891139	643.7643998585728	685.8012835215806	962.8844933222293	758.5763866151277	908.4836132340432
Psmb4_5	Psmb4	827.3547707292763	765.1979946639367	385.1460008257196	85.77766502619609	425.34092073508526	44.533510452649175
Ifi27l2a_3	Ifi27l2a	352.2401499144444	390.91636683918506	465.24759074104026	304.45030403663964	425.34092073508526	321.7546130203903
Ankrd26_2	Ankrd26	514.434451502956	543.9559657719724	601.3105653917219	349.151340740432	623.0054362105142	246.0476452508867
Gip_4	Gip	538.1901825436976	587.2062872094992	564.0029755681478	445.80223091079375	549.5280508767161	290.5811557035359
Tpm2_1	Tpm2	385.82583862721697	296.09835445691465	424.6481547565627	320.1560736893234	459.4923815240337	453.12846885570536
Adcyap1r1_1	Adcyap1r1	361.25094444713943	528.9847006589823	797.7240529923025	1162.2269542986005	756.5066011127673	1261.411683571288
B3gnt9_5	B3gnt9	986.2724197604442	952.3388085763125	923.9114891602734	1293.9137921557185	1015.2297889078312	1053.217522205153
Mob3c_3	Mob3c	1114.0618694968473	1066.2867708251813	1250.901541143363	1012.4180745345398	1015.2297889078312	536.6288009544226
Vbp1_5	Vbp1	522.6260828963151	568.9080742936225	472.92856511648193	604.0680635647611	635.4241492246773	636.8291994728833
Mall_2	Mall	176.93923809655809	170.50607489794243	286.390615998612	55.57426184795803	135.57095040461354	138.05388240321244
Rfwd2_2	Rfwd2	1051.8054709073176	1122.8448834742549	804.3077453141096	967.7170378307474	908.635835536265	1550.8795015135076
Aspn_3	Aspn	339.9527028244056	305.247460914853	222.74825688780936	193.30178034072358	172.82708944710276	69.02694120160622
Lhfpl2_3	Lhfpl2	577.5100132318215	617.980554386201	543.1546165490918	641.5202835057763	735.8087460891621	741.4829490366088
Lmo4_2	Lmo4	1146.009231930948	1166.9269418625036	1510.9573878547462	1483.5911641150535	1582.3510165546115	1871.5207767725817
Aatk_5	Aatk	486.58290476553475	539.7972810183641	471.83128306284743	1537.957289835882	382.91031793669475	948.5637726414275
Atp5o_2	Atp5o	443.9864215200671	335.1899911408331	196.41348760058068	88.19393728045513	154.19901992585815	106.88042508635803
Plekhj1_1	Plekhj1	242.47228924343148	271.9779828859862	275.4177954622668	114.77293207730462	163.51305468648047	189.267419423759
Olfr62_1	Olfr62	218.71655820268987	211.26118548330425	237.01292358505825	413.18255547829665	273.21168631158764	320.64127525907406
Nt5c2_5	Nt5c2	484.94457848686295	563.0859156385708	558.5165652999752	591.9867022934659	585.749297168025	790.4698105345229
Zfp750_2	Zfp750	439.8906058233875	358.4786257610399	381.85415466481606	227.1295919003502	399.4686019555789	246.0476452508867
Casd1_5	Casd1	735.6084991236536	786.8231553827001	604.6024115526254	838.4464722278885	595.0633319286472	742.596286797925
Me3_1	Me3	433.3373007087001	434.1666882767119	503.65246261824876	270.622492477013	484.32980755235985	385.2148654154154
Tmem125_5	Tmem125	285.0687724888991	305.247460914853	226.04010304871295	392.6442413170948	305.2933615981756	428.6350381067483
Olfr39_3	Olfr39	294.89873016093014	300.257039210523	390.6324110938923	339.48625172339575	279.42104281866915	428.6350381067483
1700011H14Rik_5	1700011H14Rik	270.32383598085266	279.4636154424812	307.2389750176681	286.3282621296968	290.804863081652	390.78155422199654
Prkcdbp_2	Prkcdbp	557.0309347484236	519.0038572503223	574.9757961044932	593.1948384205955	675.7849665207073	631.2625106663021
Cpsf3_2	Cpsf3	644.6813906573668	677.8656148381613	182.1488209033318	68.86375924638277	126.25691564399125	34.51347060080311
Slk_4	Slk	1159.9350052996585	1144.4700441930183	1470.3579518702688	1971.6781594753804	1135.277348044741	2112.0017332168873
